id,mes,data_registro,placa,item,fonte,tipo_manutencao,status,ordem_servico,conclusao,data_servico
78,JULHO,2025-07-08,RGF6G22,VERIFICAR VAZAMENTO DE AR NOS TANQUES,CHECKLIST,CORRETIVA,PENDENTE,,,
79,JULHO,2025-07-09,GAT9I74,CAPA TRASEIRO RETROVISOR ESQUERDO,CHECKLIST,CORRETIVA,PENDENTE,,,
80,JULHO,2025-07-14,GAT5C86,FERRUGEM NA ESCADA DO TANQUE,CHECKLIST,CORRETIVA,PENDENTE,,,
81,JULHO,2025-07-14,GAT5C86,LUZ DA ARLA ACENDENDO,CHECKLIST,CORRETIVA,PENDENTE,,,
82,JULHO,2025-07-09,QGW7E84,RETROVISOR LADO ESQUERDO TRINCADO,CHECKLIST,CORRETIVA,PENDENTE,,,
83,JULHO,2025-07-09,QGW7E84,PROTEÇÃO DO RETROVISOR LADO ESQUERDO FALTANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
84,JULHO,2025-07-09,QGW7E84,TANQUES ENFERRUJADOS ,CHECKLIST,CORRETIVA,PENDENTE,,,
85,JULHO,2025-07-09,QGW7E84,PAR DE AMORTECEDOR DIANTEIRO,CHECKLIST,CORRETIVA,PENDENTE,,,
86,JULHO,2025-07-09,QGW7E84,BASE DO RETROVISOR DIREITO QUEBRADO,CHECKLIST,CORRETIVA,PENDENTE,,,
87,JULHO,2025-07-09,QGW7E84,AMASSO NA PORTA DIREITA,CHECKLIST,CORRETIVA,PENDENTE,,,
88,JULHO,2025-07-14,GAT5D42,AR CONDICIONADO COM DEFEITO,CHECKLIST,CORRETIVA,CONCLUÍDO,,FINALIZADO,
89,JULHO,2025-07-14,GAT5D42,AMORTECEDOR DA CABINE BATENDO,CHECKLIST,CORRETIVA,PENDENTE,,,
90,JULHO,2025-07-14,GAT5D42,GELADEIRA NÃO FUNCIONANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
91,JULHO,2025-07-14,QGW7E94,VERIFICAR BUXAS DE CABINE,CHECKLIST,CORRETIVA,PENDENTE,,,
92,JULHO,2025-07-14,GAP2B81,PONTO DE FERRUGENS,CHECKLIST,CORRETIVA,PENDENTE,,,
93,JULHO,2025-07-14,GAP2B81,VERIFICAR RODAS,CHECKLIST,CORRETIVA,CONCLUÍDO,,FINALIZADO,
